Date,Month,Season,Temperature,DayType,Event,TimeSlot,LocationType,Product,UnitsSold,Sales
2022-01-01,1,Winter,23.4901424590337,Weekend,Summer Vacation,Evening,Rural,Vanilla,158,6320
2022-01-01,1,Winter,23.4901424590337,Weekend,Summer Vacation,Evening,Rural,Chocolate,196,9800
2022-01-01,1,Winter,23.4901424590337,Weekend,Summer Vacation,Evening,Rural,Strawberry,159,7155
2022-01-01,1,Winter,23.4901424590337,Weekend,Summer Vacation,Evening,Rural,Butterscotch,167,9185
2022-01-01,1,Winter,23.4901424590337,Weekend,Summer Vacation,Evening,Rural,Coffee,120,7200
2022-01-02,1,Winter,20.285859502737576,Weekend,None,Afternoon,Urban,Vanilla,96,3840
2022-01-02,1,Winter,20.285859502737576,Weekend,None,Afternoon,Urban,Chocolate,117,5850
2022-01-02,1,Winter,20.285859502737576,Weekend,None,Afternoon,Urban,Strawberry,104,4680
2022-01-02,1,Winter,20.285859502737576,Weekend,None,Afternoon,Urban,Butterscotch,108,5940
2022-01-02,1,Winter,20.285859502737576,Weekend,None,Afternoon,Urban,Coffee,67,4020
2022-01-03,1,Winter,26.39694630676466,Weekday,None,Evening,Urban,Vanilla,135,5400
2022-01-03,1,Winter,26.39694630676466,Weekday,None,Evening,Urban,Chocolate,168,8400
2022-01-03,1,Winter,26.39694630676466,Weekday,None,Evening,Urban,Strawberry,117,5265
2022-01-03,1,Winter,26.39694630676466,Weekday,None,Evening,Urban,Butterscotch,144,7920
2022-01-03,1,Winter,26.39694630676466,Weekday,None,Evening,Urban,Coffee,125,7500
2022-01-04,1,Winter,22.873102003786546,Weekday,None,Morning,Urban,Vanilla,89,3560
2022-01-04,1,Winter,22.873102003786546,Weekday,None,Morning,Urban,Chocolate,130,6500
2022-01-04,1,Winter,22.873102003786546,Weekday,None,Morning,Urban,Strawberry,70,3150
2022-01-04,1,Winter,22.873102003786546,Weekday,None,Morning,Urban,Butterscotch,111,6105
2022-01-04,1,Winter,22.873102003786546,Weekday,None,Morning,Urban,Coffee,49,2940
2022-01-05,1,Winter,18.015441853304708,Weekday,None,Evening,Rural,Vanilla,91,3640
2022-01-05,1,Winter,18.015441853304708,Weekday,None,Evening,Rural,Chocolate,110,5500
2022-01-05,1,Winter,18.015441853304708,Weekday,None,Evening,Rural,Strawberry,93,4185
2022-01-05,1,Winter,18.015441853304708,Weekday,None,Evening,Rural,Butterscotch,82,4510
2022-01-05,1,Winter,18.015441853304708,Weekday,None,Evening,Rural,Coffee,47,2820
2022-01-06,1,Winter,24.321101250501044,Weekday,None,Afternoon,Urban,Vanilla,94,3760
2022-01-06,1,Winter,24.321101250501044,Weekday,None,Afternoon,Urban,Chocolate,128,6400
2022-01-06,1,Winter,24.321101250501044,Weekday,None,Afternoon,Urban,Strawberry,86,3870
2022-01-06,1,Winter,24.321101250501044,Weekday,None,Afternoon,Urban,Butterscotch,103,5665
2022-01-06,1,Winter,24.321101250501044,Weekday,None,Afternoon,Urban,Coffee,91,5460
2022-01-07,1,Winter,25.092998567487854,Weekday,None,Morning,Rural,Vanilla,94,3760
2022-01-07,1,Winter,25.092998567487854,Weekday,None,Morning,Rural,Chocolate,73,3650
2022-01-07,1,Winter,25.092998567487854,Weekday,None,Morning,Rural,Strawberry,88,3960
2022-01-07,1,Winter,25.092998567487854,Weekday,None,Morning,Rural,Butterscotch,85,4675
2022-01-07,1,Winter,25.092998567487854,Weekday,None,Morning,Rural,Coffee,58,3480
2022-01-08,1,Winter,25.539149034102103,Weekend,None,Night,Urban,Vanilla,113,4520
2022-01-08,1,Winter,25.539149034102103,Weekend,None,Night,Urban,Chocolate,157,7850
2022-01-08,1,Winter,25.539149034102103,Weekend,None,Night,Urban,Strawberry,104,4680
2022-01-08,1,Winter,25.539149034102103,Weekend,None,Night,Urban,Butterscotch,144,7920
2022-01-08,1,Winter,25.539149034102103,Weekend,None,Night,Urban,Coffee,124,7440
2022-01-09,1,Winter,21.892521882670145,Weekend,Diwali,Afternoon,Urban,Vanilla,174,6960
2022-01-09,1,Winter,21.892521882670145,Weekend,Diwali,Afternoon,Urban,Chocolate,159,7950
2022-01-09,1,Winter,21.892521882670145,Weekend,Diwali,Afternoon,Urban,Strawberry,151,6795
2022-01-09,1,Winter,21.892521882670145,Weekend,Diwali,Afternoon,Urban,Butterscotch,179,9845
2022-01-09,1,Winter,21.892521882670145,Weekend,Diwali,Afternoon,Urban,Coffee,120,7200
2022-01-10,1,Winter,20.396750638979483,Weekday,Navratri,Afternoon,Rural,Vanilla,78,3120
2022-01-10,1,Winter,20.396750638979483,Weekday,Navratri,Afternoon,Rural,Chocolate,109,5450
2022-01-10,1,Winter,20.396750638979483,Weekday,Navratri,Afternoon,Rural,Strawberry,83,3735
2022-01-10,1,Winter,20.396750638979483,Weekday,Navratri,Afternoon,Rural,Butterscotch,125,6875
2022-01-10,1,Winter,20.396750638979483,Weekday,Navratri,Afternoon,Rural,Coffee,85,5100
2022-01-11,1,Winter,20.410719388698883,Weekday,None,Evening,Rural,Vanilla,103,4120
2022-01-11,1,Winter,20.410719388698883,Weekday,None,Evening,Rural,Chocolate,110,5500
2022-01-11,1,Winter,20.410719388698883,Weekday,None,Evening,Rural,Strawberry,96,4320
2022-01-11,1,Winter,20.410719388698883,Weekday,None,Evening,Rural,Butterscotch,102,5610
2022-01-11,1,Winter,20.410719388698883,Weekday,None,Evening,Rural,Coffee,71,4260
2022-01-12,1,Winter,25.821200860418667,Weekday,None,Morning,Rural,Vanilla,78,3120
2022-01-12,1,Winter,25.821200860418667,Weekday,None,Morning,Rural,Chocolate,77,3850
2022-01-12,1,Winter,25.821200860418667,Weekday,None,Morning,Rural,Strawberry,67,3015
2022-01-12,1,Winter,25.821200860418667,Weekday,None,Morning,Rural,Butterscotch,85,4675
2022-01-12,1,Winter,25.821200860418667,Weekday,None,Morning,Rural,Coffee,53,3180
2022-01-13,1,Winter,21.516142865001974,Weekday,None,Evening,Urban,Vanilla,130,5200
2022-01-13,1,Winter,21.516142865001974,Weekday,None,Evening,Urban,Chocolate,149,7450
2022-01-13,1,Winter,21.516142865001974,Weekday,None,Evening,Urban,Strawberry,86,3870
2022-01-13,1,Winter,21.516142865001974,Weekday,None,Evening,Urban,Butterscotch,120,6600
2022-01-13,1,Winter,21.516142865001974,Weekday,None,Evening,Urban,Coffee,84,5040
2022-01-14,1,Winter,22.307043047649,Weekday,None,Morning,Urban,Vanilla,90,3600
2022-01-14,1,Winter,22.307043047649,Weekday,None,Morning,Urban,Chocolate,113,5650
2022-01-14,1,Winter,22.307043047649,Weekday,None,Morning,Urban,Strawberry,91,4095
2022-01-14,1,Winter,22.307043047649,Weekday,None,Morning,Urban,Butterscotch,106,5830
